name,Rating,votes,location,cuisines,approx_cost(for two people)
Snacks Bite,3.0,9,Kumaraswamy Layout,"Fast Food, Momos",400
The Spice Saga,3.7,124,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",750
Dakshin Cafe,3.7,19,Kumaraswamy Layout,South Indian,100
Kaulige Millet Corner,3.3,4,Basavanagudi,"Healthy Food, South Indian",150
Ifruit Ice Cream,3.3,4,Kumaraswamy Layout,"Desserts, Ice Cream",150
Havmor,3.8,21,Basavanagudi,"Ice Cream, Desserts",200
Grand Food,3.4,8,Banashankari,"South Indian, Bakery, Chinese",250
Dining Hut,3.5,10,Kumaraswamy Layout,"North Indian, Chinese, South Indian",400
Desi Swaad,3.5,10,Kumaraswamy Layout,North Indian,400
Yummy Momos,3.2,4,Kumaraswamy Layout,"Momos, Tibetan, Chinese",200
Masale Daan,3.1,4,Banashankari,North Indian,350
Grow Fit,3.6,16,Jp Nagar,"Healthy Food, North Indian, Thai",500
Sandwich Hub,3.4,12,Jayanagar,"Fast Food, Sandwich",300
Udupi Sri Krishna Cafe,3.9,14,Jayanagar,"North Indian, South Indian",600
Starlite Bakery & Fastfood,3.7,0,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300
Veganbreak24x7,2.8,5,City Market,"South Indian, Chinese, Continental, Biryani",199
Aadhya Hotel,3.3,5,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",800
Dodda Mane Baaduta,3.5,15,Banashankari,"North Indian, South Indian, Chinese, Biryani",250
Swadd Kitchen,3.4,4,Basavanagudi,"North Indian, Fast Food",500
Happy Chopsticks,3.6,17,Basavanagudi,"Chinese, Fast Food",300
Udupi Upachar,3.3,6,Banashankari,"South Indian, North Indian",500
Davanagere Benne Dose Hut,3.4,10,Banashankari,South Indian,100
Subz,4.2,2022,Jayanagar,"North Indian, South Indian",1000
Mint and Mustard,4.0,232,Basavanagudi,"North Indian, Chinese",750
Chinese Square,3.9,38,Basavanagudi,Chinese,200
Punjabi Raswada,3.5,431,Jayanagar,North Indian,800
Vinny's,4.2,2115,Banashankari,"Pizza, Italian, Continental, Desserts",800
Chetty's Corner,3.4,30,Uttarahalli,"Fast Food, Burger, Pizza",200
Kapoor's Cafe,4.2,150,Jayanagar,North Indian,800
Donne Biryani & Kabab Corner,3.3,12,Kumaraswamy Layout,"Chinese, Biryani",200
Sukh Sagar,3.8,155,Jayanagar,"South Indian, North Indian, Chinese, Street Food",450
S M V Snacks Corner,3.7,33,Basavanagudi,Fast Food,200
Andhra Ruchulu,4.1,666,Jayanagar,"Andhra, Biryani, North Indian, Chinese",1000
Steaming Mugs,3.9,240,Basavanagudi,Cafe,700
Rajathadri Food Fort,4.0,465,Jayanagar,"South Indian, North Indian, Chinese, Street Food",600
Brew Meister,4.1,970,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",1500
Rasoi,3.3,128,Banashankari,"North Indian, Chinese",300
Mr. Singh Da Dhaba,3.6,241,Kumaraswamy Layout,"North Indian, Chinese",300
Kababs N Biryani,3.4,22,Banashankari,South Indian,200
Ayodhya Upachar,4.3,734,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
Biriyani Mane,3.8,130,Jayanagar,"North Indian, Biryani",400
Cafe Ajfan,4.2,261,Jayanagar,"Cafe, Continental, Beverages",700
Brundhavana Food Point,4.0,191,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",300
SLV Corner Restaurant,4.1,364,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550
Hotel New Karavali,3.8,133,Banashankari,"Mangalorean, South Indian, North Indian",300
The Krishna Grand,3.9,888,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750
Roti Ghar,3.9,750,Basavanagudi,"North Indian, Chinese, South Indian",500
Kettle & Kegs,3.2,6,Banashankari,"Tea, Beverages",200
Baisakhi,3.8,527,Basavanagudi,North Indian,500
Poonam Sweets,4.4,356,Banashankari,Mithai,150
Amma's Pastries,3.8,60,Banashankari,Bakery,400
Polar Bear,3.9,116,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",400
Anand Sweets and Savouries,3.7,46,Banashankari,"Mithai, Street Food",400
Ibaco,3.9,41,Banashankari,Desserts,300
The Lassi and Juice Park,3.8,28,Banashankari,"Juices, Desserts",150
Corner Stone,3.6,42,Banashankari,"Beverages, Juices, Desserts, Italian",300
Arun Ice Cream,3.4,7,Banashankari,"Ice Cream, Desserts",150
Sweet N Swirl,3.2,17,Banashankari,"Desserts, Ice Cream",150
Sri Venkateshwara Sweet Meat Stall,4.0,98,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",400
Baskin Robbins,3.7,25,Basavanagudi,"Ice Cream, Desserts",250
Srinivasa Brahmins Bakery,3.6,16,Basavanagudi,"Bakery, Street Food",150
Jain Bakes,3.6,8,Basavanagudi,"Bakery, Desserts",250
KC Das - Sweet Spot,3.6,46,Basavanagudi,"Mithai, Street Food",200
Cake Yard,3.3,9,Basavanagudi,Desserts,250
A2B Veg - Adyar Ananda Bhavan,2.7,97,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",400
Jcubez,3.8,977,Banashankari,Finger Food,1300
Chung Wah,3.9,519,Banashankari,"Chinese, Momos, Thai, Vietnamese",900
Blue Wings Bar & Restaurant,3.7,43,Banashankari,"North Indian, Chinese",700
New Imperial Restaurant,3.7,39,Banashankari,"North Indian, Chinese",450
Karavali Fish Center,3.4,10,Banashankari,"Mangalorean, Chinese",300
Iyer's Tiffin Centre,3.8,62,Banashankari,"South Indian, Chinese",150
Kydz Adda,3.4,6,Banashankari,Continental,500
Food Box Cafe,3.6,36,Banashankari,"Mughlai, North Indian, Chinese",500
Sri Ganesh Juice and Chats,3.5,18,Banashankari,"Juices, Street Food",150
Manifest Cafe,3.5,10,Banashankari,"South Indian, North Indian, Chinese",500
Beijing Bites,2.7,128,Banashankari,"Chinese, Thai",850
Pizza Hut,3.7,405,Banashankari,"Pizza, Fast Food",750
Taaza Thindi,4.7,651,Banashankari,South Indian,100
Sri Laxmi Venkateshwara Coffee Bar,4.4,343,Banashankari,South Indian,100
Messy Bowl,3.8,70,Banashankari,"Fast Food, Beverages",500
Chickpet Donne Biryani House,3.8,131,Banashankari,Biryani,250
Brahmin Cafe,3.8,19,Banashankari,South Indian,150
Hotel Mangala,3.9,88,Banashankari,South Indian,250
Simple Thindies,3.5,8,Banashankari,South Indian,200
Rolls On Wheels,3.4,145,Banashankari,"Fast Food, Rolls, Momos",300
SLV Swadishta,3.8,189,Banashankari,South Indian,300
New Sagar Fast Food,3.6,71,Banashankari,"North Indian, South Indian",250
Parama Ruchi,3.5,11,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
Thrilok Restaurant,3.4,9,Banashankari,"Mangalorean, Seafood",350
Meat And Eat,3.5,12,Banashankari,"Fast Food, Burger",500
Pizza Stop,3.0,87,Banashankari,"Pizza, Italian",600
Hanumanthanagar Biryani Junction,3.5,17,Banashankari,South Indian,300
SLV Refreshment,4.1,94,Banashankari,South Indian,100
SVKP Daily Fresh,3.3,5,Banashankari,South Indian,350
Srinagar Kabab Corner,3.4,10,Banashankari,North Indian,250
Sri Venkateshwara Chat Centre,3.5,12,Banashankari,Street Food,100
Vinay Bhel Corner,3.4,7,Banashankari,Street Food,100
Nandi Chats and Juice,3.6,47,Banashankari,Street Food,150
Just Shawarma,3.8,66,Banashankari,Arabian,300
Aramane Donne Biryani,3.1,28,Banashankari,Biryani,200
FOOD ADDA,3.2,4,Banashankari,Fast Food,200
Hotel Nisarga,3.2,5,Banashankari,"North Indian, South Indian",250
Yo Roll Corner,3.0,27,Banashankari,"Street Food, Rolls",200
New Quality Dum Biryani,3.1,9,Banashankari,Biryani,200
Sri Lakshmi Kabab Center,3.3,4,Banashankari,Kebab,200
Tasty Bites,3.7,21,Banashankari,"Fast Food, Pizza",150
Raams Chicken,3.6,22,Banashankari,Andhra,300
Panchami,3.0,15,Banashankari,"North Indian, Chinese",300
Kavali,4.0,42,Banashankari,"South Indian, Street Food",300
Ranganna Military Hotel,4.2,725,Jayanagar,"South Indian, Biryani",350
Vidyarthi Bhavan,4.4,4460,Basavanagudi,South Indian,150
Bharjari Oota,3.9,153,Basavanagudi,South Indian,350
Bridgeway,3.8,94,Mysore Road,"North Indian, Chinese",550
Soho Bar & Grill,2.7,377,Basavanagudi,"North Indian, Chinese, Thai",1100
Bhavani Restaurant,3.9,100,Basavanagudi,"South Indian, North Indian, Chinese",300
Zephyr,3.9,133,Basavanagudi,"Italian, Continental",650
Hotel Dwarka,4.2,253,Basavanagudi,South Indian,250
Nisarga Garden Restaurant,3.4,51,Basavanagudi,"South Indian, Chinese, Desserts, Beverages",350
Ma-Arya Family Restaurant,3.7,61,Basavanagudi,"Biryani, South Indian, North Indian, Chinese, Andhra",600
A2B - Adyar Ananda Bhavan,3.8,155,Mysore Road,"South Indian, Fast Food, Street Food",400
New Prashanth Hotel,3.9,66,Basavanagudi,South Indian,400
Udupi Sri Krishna Bhavan,4.1,238,Basavanagudi,South Indian,600
Ice Thunder,3.8,124,Basavanagudi,"South Indian, Fast Food, North Indian, Desserts",300
Upahara Darshini,4.2,254,Basavanagudi,South Indian,150
Mahalaxmi Tiffin Room,4.1,177,Basavanagudi,South Indian,100
Starlite Bakery & Fastfood,3.7,23,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300
Sandwichwallas,4.0,132,Basavanagudi,Fast Food,200
Basavanagudi Mylari,4.0,52,Basavanagudi,South Indian,300
New Prashanth Hotel,2.9,34,Basavanagudi,"South Indian, Biryani, Chinese, North Indian",750
Shrinidhi Military Hotel,3.3,6,Basavanagudi,"North Indian, Mughlai",300
Pramukh Family Restaurant,3.9,111,Basavanagudi,"North Indian, Chinese, Mughlai",700
Vybhava,3.8,39,Jayanagar,"South Indian, North Indian",250
Shree Venkateshwara North Karnataka Hotel,4.0,64,Basavanagudi,South Indian,200
Anand Sagar Inn,3.3,6,Basavanagudi,"South Indian, North Indian, Chinese",450
Sangam Military Hotel,3.2,14,Jayanagar,South Indian,250
Belly Squad Food Truck,3.8,55,South Bangalore,"Chinese, Rolls, Biryani, Momos",300
50-50 EATING HOUSE,3.2,4,Basavanagudi,"South Indian, Biryani",100
Om Shiva Shakthi Chats Centre,3.9,26,Basavanagudi,"Street Food, Fast Food",300
Rolls Corner,3.6,22,Basavanagudi,"Fast Food, Rolls",150
New Ambur Hot Dum Biryani,3.2,8,Mysore Road,Biryani,150
Deja Vu Resto Bar,4.4,2487,Bannerghatta Road,"North Indian, Italian",900
Fattoush,4.2,1964,Bannerghatta Road,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",1000
Empire Restaurant,4.3,3178,Bannerghatta Road,"North Indian, Mughlai, South Indian, Chinese",750
Abhiruchi Hotel,3.3,455,Bannerghatta Road,"Andhra, Biryani, North Indian, Chinese",550
Tulips,3.1,19,Bannerghatta Road,"North Indian, South Indian, Chinese, Continental",800
Barbeque Nation,4.7,3845,Jp Nagar,"North Indian, European, Mediterranean, Bbq, Kebab",1600
Sattvam,4.3,353,Jp Nagar,"North Indian, South Indian",1200
24th Main,4.1,1234,Jp Nagar,"North Indian, South Indian, Chinese",800
Zaitoon,4.1,1538,Jp Nagar,"Bbq, Arabian, Chinese, North Indian, Desserts",1000
Mango Greens,3.9,49,Jp Nagar,"North Indian, Continental, Chinese",900
Oye Amritsar,3.8,756,Jp Nagar,North Indian,1000
Melt - Eden Park,4.0,347,Jp Nagar,"North Indian, Chinese, Thai, Mughlai, Seafood",1000
Spice Code,4.0,165,Jp Nagar,"South Indian, North Indian, Chinese, Biryani",1000
The Onyx - The HHI Select Bengaluru,3.3,177,Jp Nagar,"North Indian, Chinese, Continental",950
The Pavillion,2.7,43,Jp Nagar,"North Indian, Continental, South Indian, Chinese",1000
Sankranthi Veg Restaurant,3.0,102,Btm,"South Indian, North Indian, Chinese",600
Tisano Cafe,3.8,54,Bannerghatta Road,"Cafe, Fast Food, Chinese, Continental",500
Cafe Kabana,4.0,200,Bannerghatta Road,"Cafe, Continental",700
Butterly,3.9,102,Bannerghatta Road,"Cafe, Bakery, Beverages",450
Black Mug Cafe,3.7,171,Bannerghatta Road,Cafe,300
#refuel,3.7,37,Bannerghatta Road,"Cafe, Beverages",400
WAFL,3.9,40,Bannerghatta Road,"Cafe, Fast Food, Desserts, Beverages",400
Vaho Kafe & Pressery,3.9,125,Bannerghatta Road,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500
Dreamcatcher,3.9,49,Bannerghatta Road,Cafe,600
Cafe Coffee Day,3.6,19,Bannerghatta Road,"Cafe, Fast Food",900
Cafe Arabica,3.8,69,Bannerghatta Road,"Cafe, Bakery",700
Starbucks,3.9,52,Bannerghatta Road,"Cafe, Desserts",700
Smoor,3.6,18,Bannerghatta Road,"Desserts, Cafe, Beverages",900
Kalmane Koffees,3.9,78,Bannerghatta Road,Cafe,350
Shee-Sha Cafe,3.6,39,Bannerghatta Road,"Cafe, North Indian, Chinese, Continental",800
Brews N Bites,2.7,48,Bannerghatta Road,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
D2V Cafe,3.6,13,Bannerghatta Road,Cafe,700
Cafe Talk,3.3,14,Bannerghatta Road,"Cafe, Continental, North Indian, Bakery, Desserts",700
Cafe Choco Craze,3.7,9,Bannerghatta Road,"Cafe, Fast Food, Desserts",400
Slate Cafe,4.1,46,Jp Nagar,"Cafe, Sandwich, Burger",600
Dialogues,4.0,129,Jp Nagar,"Cafe, Continental",600
Mudpipe Cafe,3.9,727,Jp Nagar,"Cafe, Continental, North Indian",800
TAB - Take A Break,4.1,521,Jp Nagar,"Cafe, Continental, Italian",550
Biggies Burger 'n' More,4.1,203,Jp Nagar,"Cafe, Burger, Beverages",650
Onesta,4.4,4381,Jp Nagar,"Pizza, Cafe, Italian",600
Cafe Potpourri,3.7,131,Jp Nagar,"Cafe, Sandwich, North Indian, Beverages, Desserts",400
De Oxford Cafe,3.7,34,Jp Nagar,"Cafe, Beverages, Fast Food",500
Vinaya Coffee Moments,3.7,46,Jp Nagar,"Burger, Cafe, Desserts, Sandwich, Italian",450
Brew Point,3.6,10,Jp Nagar,"Cafe, American, Burger, Sandwich, Fast Food",500
The Cravery,2.6,18,Jp Nagar,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500
Cuppa,3.4,48,Jp Nagar,"Cafe, Fast Food",550
Anju's Cafe,3.4,6,Jp Nagar,"Cafe, North Indian",600
Skytouch Le Cafe,3.7,127,Jp Nagar,"Cafe, Italian, Desserts",700
Woodee Pizza,2.7,85,Jp Nagar,"Cafe, Pizza, Fast Food, Beverages",500
Hearts Unlock Cafe,3.2,11,Btm,"Cafe, Healthy Food",500
eat.fit,4.5,1178,Btm,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500
Sai Abhiruchi,3.7,335,Btm,"Andhra, North Indian, Biryani",800
Capsicum Family Restaurant,3.8,254,Btm,"Biryani, North Indian",800
Box Magic,3.6,21,Bannerghatta Road,"North Indian, South Indian, Seafood, Rolls",400
Maa'r Rannaghor,3.8,20,Jp Nagar,"Bengali, Chinese",400
Easy Bites,4.1,63,Jp Nagar,"Fast Food, Sandwich",300
Hiyar Majhe Kolkata,4.0,244,Btm,"Bengali, North Indian",400
Dabba Gosht,3.4,9,Jp Nagar,"Arabian, Middle Eastern",400
Empire Restaurant,3.6,113,Jp Nagar,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400
Punjabites,3.7,5,Jp Nagar,"North Indian, Charcoal Chicken",400
Sri Lakshmi Dhaba,2.9,255,Btm,North Indian,250
XO Belgian Waffle,4.5,549,Btm,"Desserts, Beverages",400
Swadista Aahar,4.1,775,Btm,"South Indian, North Indian, Chinese, Street Food",300
Vegetarea,3.9,38,Btm,South Indian,250
Al-Bek,3.6,208,Jp Nagar,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300
Aniram's,4.1,739,Jp Nagar,"Chinese, North Indian",500
Punjabi Nawabi,3.8,310,Bannerghatta Road,North Indian,400
YummRajj,3.3,42,Btm,Fast Food,500
Swad Punjab Da,4.0,126,Btm,North Indian,150
BOX8- Desi Meals,4.1,427,Bannerghatta Road,"North Indian, Mughlai, Fast Food",500
Roti Wala,4.0,197,Btm,North Indian,300
Midnight Mania,4.1,601,Btm,"Pizza, Italian, Beverages",700
Kitchens@JP Nagar,3.9,488,Jp Nagar,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400
Krishna Kuteera,4.0,396,Bannerghatta Road,"South Indian, North Indian, Chinese",400
Apna Punjab,3.6,474,Btm,"North Indian, Chinese, Fast Food",450
Paratha Junction,2.9,172,Btm,"North Indian, Chinese",300
Nellore Bhojanam,3.1,175,Bannerghatta Road,Andhra,250
Momoz,4.0,939,Btm,"Chinese, Momos",600
Kalingas,3.9,173,Btm,"Oriya, Fast Food",250
Kanteen The Eatery,3.9,77,Bannerghatta Road,North Indian,400
Kullad Cafe,3.9,326,Btm,"North Indian, Cafe, Fast Food, Beverages",200
Donne Biriyani House,3.3,212,Jp Nagar,"Biryani, Andhra",350
Litti Twist,4.1,464,Btm,"North Indian, Bihari",300
FreshMenu,3.3,628,Bannerghatta Road,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Shanthi Sagar,3.6,518,Jp Nagar,"South Indian, North Indian, Chinese",400
Cakebuy,3.9,70,Bannerghatta Road,Desserts,350
Five Star Chicken,3.9,62,Jp Nagar,"Burger, Fast Food, Roast Chicken, Finger Food",300
Corner House Ice Cream,4.4,819,Jayanagar,"Ice Cream, Desserts",400
Delight Food,2.6,171,Btm,"Andhra, Chinese, Biryani",450
Andhra Kitchen,3.9,158,Bannerghatta Road,"Andhra, Biryani",400
Veg By Nature,3.4,14,Jp Nagar,North Indian,200
Chicken Magic,3.7,207,Btm,"Chinese, North Indian",300
Behrouz Biryani,4.0,138,Bannerghatta Road,Biryani,650
Swathi Restaurant,3.9,14,Jp Nagar,"Andhra, North Indian, Chinese",400
Fresh Kitchen,3.4,13,Bannerghatta Road,"North Indian, Chinese",600
Hind Ka Chulah,3.8,181,Bannerghatta Road,"North Indian, Biryani",600
Kuttanad,3.6,140,Bannerghatta Road,"Kerala, South Indian",200
New Mahesh Friends Food Corner,3.2,44,Btm,"North Indian, Chinese",300
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.6,43,Jp Nagar,Bohri,300
Pizza Hut,2.7,159,Jp Nagar,Pizza,750
Shree Krishna Sannidhi,3.4,76,Bannerghatta Road,"North Indian, Chinese",450
BingeJoy!,3.6,16,Jp Nagar,"Biryani, Chinese, Fast Food",100
Shiv Sai Hotel,3.5,74,Bannerghatta Road,North Indian,400
MRA,3.9,20,Btm,Bakery,200
Beijing Bites,3.7,9,Jp Nagar,"Chinese, Thai, Momos",400
A2B - Adyar Ananda Bhavan,4.1,51,Jp Nagar,"South Indian, North Indian, Chinese, Street Food",200
Burj Hotel,3.5,53,Bannerghatta Road,"North Indian, Chinese",350
Shaadi Ki Biryani,3.1,28,Btm,"Biryani, North Indian, Mughlai",400
Subway,3.2,166,Bannerghatta Road,"Salad, Fast Food",600
Madeena Hotel,3.9,50,Bannerghatta Road,"North Indian, Mughlai, Biryani",400
Biryani Durbar,3.7,128,Bannerghatta Road,"Biryani, North Indian",400
The Good Bowl,3.6,8,Bannerghatta Road,"Italian, North Indian, Biryani",500
Mahesh Friends Food Center,2.9,126,Btm,"Chinese, North Indian",300
Juice Shop,3.4,24,Jp Nagar,"Juices, Beverages, Ice Cream",150
Kabab Magic,4.0,952,Jayanagar,"North Indian, Kebab, Chinese, Fast Food",400
Nammura Donne Biriyani,3.4,51,Kanakapura Road,"Biryani, Fast Food",400
Burger King,3.8,472,Bannerghatta Road,"Burger, Fast Food, Beverages",600
Dadi's Dum Biryani,4.0,739,Bannerghatta Road,"Biryani, North Indian, Mughlai",800
Krishna Kuteera South,4.0,117,Bannerghatta Road,"South Indian, North Indian, Chinese",500
Alankrutha,3.9,255,Btm,"Andhra, Biryani, North Indian, Chinese",500
Paradise,4.0,1974,Jp Nagar,"Biryani, North Indian, Kebab",800
Kabab Mehal,3.7,65,Jp Nagar,"Kebab, North Indian, Fast Food, Beverages",400
Andhra Ruchulu,4.2,1428,Jp Nagar,"Andhra, North Indian",800
Sri Punjabi Dhaba,3.3,39,Btm,North Indian,400
Arabian Mexico,3.4,43,Bannerghatta Road,"Fast Food, Arabian",400
CakeZone,3.7,13,Jp Nagar,"Bakery, Desserts",200
Fujian Express,3.6,34,Jp Nagar,"Chinese, Thai",200
Indian Food,2.9,345,Btm,"North Indian, Biryani, Chinese, Momos",450
Tandoori Paradise,3.5,8,Btm,"North Indian, Chinese",600
Kolkata Kathi Rolls,3.8,23,Jp Nagar,Rolls,150
Adithya,4.0,332,Jp Nagar,"South Indian, North Indian, Chinese",300
Cheesiano Pizza,4.0,199,Jp Nagar,"Pizza, Italian",700
Polar Bear,3.9,20,Btm,"Desserts, Ice Cream",300
Nati Palace,3.5,11,Jp Nagar,"South Indian, North Indian",200
KFC,3.9,437,Jp Nagar,"Burger, Fast Food",400
Dande's Hyderabad Biryani,3.8,207,Bannerghatta Road,"Biryani, Andhra, North Indian",700
Upahara Bhavan,3.8,55,Bannerghatta Road,"South Indian, North Indian, Chinese",300
Sher-E-Punjab,3.2,19,Btm,"North Indian, Chinese",400
Shuddh Desi Khana,4.0,597,Bannerghatta Road,North Indian,400
Karama Restaurant,3.5,16,Jp Nagar,Arabian,400
Jaganath Hotel and Restaurant,3.6,35,Jp Nagar,"North Indian, Chinese",200
Five Star Chicken,3.5,9,Bannerghatta Road,"Fast Food, Beverages",250
Aramane Donne Biriyani,3.9,189,Btm,"Biryani, Fast Food",300
Mani's Dum Biryani,4.2,373,Jp Nagar,"Biryani, Kebab",750
Amontron,3.9,435,Btm,Bengali,650
A M Biryani Hotel,3.3,6,Bannerghatta Road,"North Indian, Chinese, Biryani, Fast Food",300
Birinz,4.1,292,Btm,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700
Just Shawarma,3.6,137,Bannerghatta Road,Arabian,300
Hyderabadi Bawarchi,3.2,133,Bannerghatta Road,"North Indian, Chinese, Biryani",500
Fish Chain,3.9,37,Jp Nagar,"Seafood, Bbq, Biryani",250
Prasiddhi Food Corner,3.7,170,Jp Nagar,"Fast Food, North Indian, South Indian",200
Biriyani Bhatti,3.7,21,Btm,"Chinese, Hyderabadi, North Indian",400
Hyderabad Biryaani House,3.6,794,Bannerghatta Road,"Biryani, North Indian, Chinese",550
Galito's,4.6,404,Bannerghatta Road,"African, Burger",1000
C. K. Mega Hot Food,3.9,100,Btm,"Chinese, Momos",600
Lassi Shop,3.9,38,Jp Nagar,"Beverages, Ice Cream, Fast Food",300
Red Chilli Restaurant,3.2,93,Bannerghatta Road,"North Indian, Chinese",350
RSS Donne Biryani,3.3,58,Btm,Biryani,300
Rajdhani Thali Restaurant,3.9,561,Bannerghatta Road,North Indian,900
PHEW (Play Hard Eat Wild),3.9,486,Btm,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, Bbq, Cafe",700
New Kabab Zone,3.6,102,Bannerghatta Road,"North Indian, Chinese, Biryani, Rolls",500
Bawarchi Paradise,3.5,89,Bannerghatta Road,"North Indian, Biryani",500
Shree Udupi Grand,3.5,17,Kanakapura Road,"South Indian, Chinese, North Indian",450
Chicken County Grand,3.9,320,Bannerghatta Road,"North Indian, Chinese",650
Roll Over,4.1,237,Jp Nagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500
Darjeeling Momos & Fast Food Center,3.8,37,Bannerghatta Road,"Fast Food, Momos",250
